step,telescope_perplexity,telescope_cross_perplexity,causal_perplexity,performer_model_entropy,observer_model_entropy,entropy_ratio,kl_divergence,performer_total_variation_distance,observer_total_variation_distance,performer_distribution_overlap,observer_distribution_overlap,performer_logits_std,observer_logits_std,shifted1_telescope_perplexity,shifted1_telescope_cross_perplexity,shifted2_telescope_perplexity,shifted2_telescope_cross_perplexity,shifted3_telescope_perplexity,shifted3_telescope_cross_perplexity
5100.0,[8.4921875],[3.55859375],3.76953125,,,,,0.7762500047683716,0.7762500047683716,0.2239583283662796,0.2239583283662796,0.0021114349365234375,0.0021114349365234375,177.375,,inf,,inf,
5200.0,[10.3984375],[3.599609375],3.79296875,,,,,0.7782608866691589,0.7782608866691589,0.22160325944423676,0.22160325944423676,0.0022029876708984375,0.0022029876708984375,inf,,inf,,inf,
5400.0,[11.5234375],[2.740234375],2.7265625,,,,,0.65625,0.65625,0.34397006034851074,0.34397006034851074,0.0026760101318359375,0.0026760101318359375,322.5,,inf,,inf,
5500.0,[9.9140625],[3.6796875],4.17578125,,,,,0.8161231875419617,0.8161231875419617,0.18365035951137543,0.18365035951137543,0.0020503997802734375,0.0020503997802734375,459.75,,inf,,inf,
5600.0,[9.890625],[3.49609375],3.638671875,,,,,0.744601309299469,0.744601309299469,0.25519102811813354,0.25519102811813354,0.0023365020751953125,0.0023365020751953125,999.0,,inf,,inf,
5700.0,[10.8515625],[3.408203125],3.6640625,,,,,0.7890855669975281,0.7890855669975281,0.21073009073734283,0.21073009073734283,0.0021381378173828125,0.0021381378173828125,1149.0,,inf,,inf,
5800.0,[9.40625],[3.79296875],3.73828125,,,,,0.778515636920929,0.778515636920929,0.2216796875,0.2216796875,0.0021076202392578125,0.0021076202392578125,187.25,,inf,,inf,
5900.0,[9.59375],[3.22265625],3.330078125,,,,,0.7404631972312927,0.7404631972312927,0.2593664824962616,0.2593664824962616,0.0023021697998046875,0.0023021697998046875,inf,,inf,,inf,
6000.0,[10.4453125],[2.9140625],2.96484375,,,,,0.6984127163887024,0.6984127163887024,0.3018353283405304,0.3018353283405304,0.002483367919921875,0.002483367919921875,inf,,inf,,inf,
6400.0,[8.7734375],[3.640625],3.51953125,,,,,0.7456647157669067,0.7456647157669067,0.2545158863067627,0.2545158863067627,0.0021800994873046875,0.0021800994873046875,495.25,,inf,,inf,
6500.0,[9.4453125],[4.1640625],4.69921875,,,,,0.8592342138290405,0.8592342138290405,0.14104729890823364,0.14104729890823364,0.0017633438110351562,0.0017633438110351562,401.5,,inf,,inf,
6600.0,[9.5390625],[3.46875],3.548828125,,,,,0.7850000262260437,0.7850000262260437,0.21482142806053162,0.21482142806053162,0.002124786376953125,0.002124786376953125,527.5,,inf,,inf,
7000.0,[9.359375],[3.423828125],3.458984375,,,,,0.7854803204536438,0.7854803204536438,0.2145196497440338,0.2145196497440338,0.002105712890625,0.002105712890625,674.5,,inf,,inf,
7200.0,[9.9375],[2.517578125],3.216796875,,,,,0.6454831957817078,0.6454831957817078,0.35451680421829224,0.35451680421829224,0.0027751922607421875,0.0027751922607421875,inf,,inf,,inf,
7400.0,[10.7421875],[3.3515625],3.43359375,,,,,0.7524131536483765,0.7524131536483765,0.24734556674957275,0.24734556674957275,0.0022678375244140625,0.0022678375244140625,815.0,,inf,,inf,
7500.0,[9.703125],[3.1484375],3.24609375,,,,,0.7650375962257385,0.7650375962257385,0.23519736528396606,0.23519736528396606,0.002201080322265625,0.002201080322265625,349.25,,inf,,inf,
7600.0,[10.984375],[3.193359375],3.365234375,,,,,0.7658514380455017,0.7658514380455017,0.2341485470533371,0.2341485470533371,0.0022945404052734375,0.0022945404052734375,inf,,inf,,inf,
7800.0,[11.390625],[3.205078125],3.658203125,,,,,0.7075757384300232,0.7075757384300232,0.2926136255264282,0.2926136255264282,0.0024890899658203125,0.0024890899658203125,538.0,,inf,,inf,
7900.0,[9.859375],[3.0703125],2.939453125,,,,,0.7262499928474426,0.7262499928474426,0.2737500071525574,0.2737500071525574,0.002349853515625,0.002349853515625,357.0,,inf,,inf,
8100.0,[9.9609375],[2.298828125],2.30859375,,,,,0.5809128880500793,0.5809128880500793,0.4188278019428253,0.4188278019428253,0.0029468536376953125,0.0029468536376953125,1020.0,,inf,,inf,
8300.0,[9.5625],[2.984375],3.119140625,,,,,0.6975524425506592,0.6975524425506592,0.3024475574493408,0.3024475574493408,0.0024585723876953125,0.0024585723876953125,337.75,,inf,,inf,
8500.0,[9.90625],[3.236328125],3.76171875,,,,,0.739386796951294,0.739386796951294,0.26061320304870605,0.26061320304870605,0.0023441314697265625,0.0023441314697265625,312.0,,inf,,inf,
8600.0,[10.3046875],[2.990234375],3.1953125,,,,,0.6838942170143127,0.6838942170143127,0.31610578298568726,0.31610578298568726,0.0025386810302734375,0.0025386810302734375,180.125,,inf,,inf,
8700.0,[9.5390625],[3.361328125],3.185546875,,,,,0.7618343234062195,0.7618343234062195,0.23816567659378052,0.23816567659378052,0.002162933349609375,0.002162933349609375,437.25,,inf,,inf,
8800.0,[9.6484375],[3.02734375],3.1484375,,,,,0.6854838728904724,0.6854838728904724,0.31426411867141724,0.31426411867141724,0.0025005340576171875,0.0025005340576171875,697.5,,inf,,inf,
8900.0,[9.4921875],[3.587890625],3.662109375,,,,,0.7451612949371338,0.7451612949371338,0.25463709235191345,0.25463709235191345,0.0022792816162109375,0.0022792816162109375,1044.0,,inf,,inf,
9100.0,[11.59375],[3.21875],3.640625,,,,,0.7338235378265381,0.7338235378265381,0.2659926414489746,0.2659926414489746,0.00246429443359375,0.00246429443359375,228.25,,inf,,inf,
9500.0,[9.78125],[3.6015625],3.6484375,,,,,0.7836538553237915,0.7836538553237915,0.21646635234355927,0.21646635234355927,0.0021991729736328125,0.0021991729736328125,386.5,,inf,,inf,
9700.0,[9.984375],[3.87109375],4.140625,,,,,0.8108870983123779,0.8108870983123779,0.1890120953321457,0.1890120953321457,0.0020198822021484375,0.0020198822021484375,1181.0,,inf,,inf,
9800.0,[8.15625],[2.26171875],2.341796875,,,,,0.6110668778419495,0.6110668778419495,0.38893312215805054,0.38893312215805054,0.0027866363525390625,0.0027866363525390625,307.75,,inf,,inf,
9900.0,[10.3359375],[2.953125],2.919921875,,,,,0.6958874464035034,0.6958874464035034,0.30438312888145447,0.30438312888145447,0.0024738311767578125,0.0024738311767578125,inf,,inf,,inf,
10100.0,[10.15625],[3.521484375],3.61328125,,,,,0.8090277910232544,0.8090277910232544,0.19111689925193787,0.19111689925193787,0.00201416015625,0.00201416015625,307.0,,inf,,inf,
10400.0,[9.578125],[3.91015625],3.998046875,,,,,0.8044354915618896,0.8044354915618896,0.19556452333927155,0.19556452333927155,0.0019445419311523438,0.0019445419311523438,289.5,,inf,,inf,
10500.0,[8.1484375],[2.521484375],2.802734375,,,,,0.6612903475761414,0.6612903475761414,0.3389616906642914,0.3389616906642914,0.0026645660400390625,0.0026645660400390625,248.375,,inf,,inf,
10600.0,[10.296875],[3.166015625],3.560546875,,,,,0.75,0.75,0.2498372346162796,0.2498372346162796,0.0023670196533203125,0.0023670196533203125,inf,,inf,,inf,
10700.0,[10.8203125],[3.7265625],4.05078125,,,,,0.75,0.75,0.2502029240131378,0.2502029240131378,0.0022678375244140625,0.0022678375244140625,518.0,,inf,,inf,
10900.0,[9.8984375],[3.302734375],3.248046875,,,,,0.7476503849029541,0.7476503849029541,0.2523496150970459,0.2523496150970459,0.0022335052490234375,0.0022335052490234375,inf,,inf,,inf,
11200.0,[11.0390625],[3.017578125],2.76171875,,,,,0.6808739304542542,0.6808739304542542,0.31912606954574585,0.31912606954574585,0.002483367919921875,0.002483367919921875,inf,,inf,,inf,
11300.0,[9.6484375],[3.4296875],3.837890625,,,,,0.798115074634552,0.798115074634552,0.2017609179019928,0.2017609179019928,0.0021228790283203125,0.0021228790283203125,389.0,,inf,,inf,
11400.0,[9.609375],[4.2265625],4.40234375,,,,,0.8533653616905212,0.8533653616905212,0.14633414149284363,0.14633414149284363,0.0017633438110351562,0.0017633438110351562,255.0,,inf,,inf,
11500.0,[9.3203125],[3.890625],4.08984375,,,,,0.8661971688270569,0.8661971688270569,0.13402289152145386,0.13402289152145386,0.001796722412109375,0.001796722412109375,764.0,,inf,,inf,
11600.0,[10.8515625],[2.890625],2.9296875,,,,,0.6829836964607239,0.6829836964607239,0.3173076808452606,0.3173076808452606,0.0025463104248046875,0.0025463104248046875,inf,,inf,,inf,
11700.0,[10.3984375],[3.126953125],3.451171875,,,,,0.7239583134651184,0.7239583134651184,0.2760416567325592,0.2760416567325592,0.0023937225341796875,0.0023937225341796875,inf,,inf,,inf,
11800.0,[10.21875],[3.703125],4.546875,,,,,0.8037499785423279,0.8037499785423279,0.19640624523162842,0.19640624523162842,0.0021266937255859375,0.0021266937255859375,128.5,,inf,,inf,
12100.0,[8.640625],[2.150390625],2.158203125,,,,,0.5843595862388611,0.5843595862388611,0.41533252596855164,0.41533252596855164,0.002918243408203125,0.002918243408203125,806.0,,inf,,inf,
12200.0,[9.2421875],[3.2265625],3.615234375,,,,,0.7538265585899353,0.7538265585899353,0.24617347121238708,0.24617347121238708,0.0023174285888671875,0.0023174285888671875,608.0,,inf,,inf,
12300.0,[9.6328125],[4.3203125],4.609375,,,,,0.8499053120613098,0.8499053120613098,0.1502130627632141,0.1502130627632141,0.00189971923828125,0.00189971923828125,195.375,,inf,,inf,
12400.0,[11.046875],[3.353515625],3.91796875,,,,,0.7629716992378235,0.7629716992378235,0.2370283007621765,0.2370283007621765,0.002262115478515625,0.002262115478515625,779.5,,inf,,inf,
12500.0,[10.296875],[3.4765625],3.96484375,,,,,0.7979910969734192,0.7979910969734192,0.2021484375,0.2021484375,0.0021572113037109375,0.0021572113037109375,337.5,,inf,,inf,
12600.0,[10.9140625],[3.111328125],3.3828125,,,,,0.7078853249549866,0.7078853249549866,0.29233869910240173,0.29233869910240173,0.0024738311767578125,0.0024738311767578125,inf,,inf,,inf,
12700.0,[8.890625],[3.310546875],3.326171875,,,,,0.7574999928474426,0.7574999928474426,0.24262499809265137,0.24262499809265137,0.0022029876708984375,0.0022029876708984375,323.5,,inf,,inf,
12800.0,[8.65625],[2.623046875],2.57421875,,,,,0.6764705777168274,0.6764705777168274,0.32332515716552734,0.32332515716552734,0.002559661865234375,0.002559661865234375,inf,,inf,,inf,
13000.0,[11.265625],[3.201171875],3.30078125,,,,,0.7143429517745972,0.7143429517745972,0.28565704822540283,0.28565704822540283,0.0024051666259765625,0.0024051666259765625,411.25,,inf,,inf,
13100.0,[9.390625],[4.25],4.234375,,,,,0.8221830725669861,0.8221830725669861,0.1776701807975769,0.1776701807975769,0.0018587112426757812,0.0018587112426757812,784.0,,inf,,inf,
13200.0,[9.1875],[3.890625],3.7421875,,,,,0.8137931227684021,0.8137931227684021,0.1864224076271057,0.1864224076271057,0.0019283294677734375,0.0019283294677734375,990.0,,inf,,inf,
13300.0,[9.703125],[3.115234375],2.884765625,,,,,0.7169894576072693,0.7169894576072693,0.2830105721950531,0.2830105721950531,0.0024013519287109375,0.0024013519287109375,330.5,,inf,,inf,
13500.0,[11.5625],[3.39453125],3.638671875,,,,,0.762635350227356,0.762635350227356,0.23736461997032166,0.23736461997032166,0.0022754669189453125,0.0022754669189453125,916.5,,inf,,inf,
13600.0,[9.9375],[4.03125],4.41015625,,,,,0.8198275566101074,0.8198275566101074,0.18006464838981628,0.18006464838981628,0.0019178390502929688,0.0019178390502929688,524.5,,inf,,inf,
